Date,Name,Type,Country Name,Country Code
2023-06-07,World Food Safety Day,['United Nations observance'],United States,US
2023-06-08,Corpus Christi,['Christian'],United States,US
2023-06-08,World Oceans Day,['United Nations observance'],United States,US
2023-06-10,Belmont Stakes,['Sporting event'],United States,US
2023-06-11,Kamehameha Day,['Local holiday'],United States,US
2023-06-12,World Day Against Child Labour,['United Nations observance'],United States,US
2023-06-12,Kamehameha Day observed,['Local holiday'],United States,US
2023-06-12,Loving Day,['Observance'],United States,US
2023-06-13,International Albinism Awareness Day,['United Nations observance'],United States,US
2023-06-14,World Blood Donor Day,['United Nations observance'],United States,US
2023-06-14,Army Birthday,['Observance'],United States,US
2023-06-14,Flag Day,['Observance'],United States,US
2023-06-15,World Elder Abuse Awareness Day,['United Nations observance'],United States,US
2023-06-16,International Day of Family Remittances,['United Nations observance'],United States,US
2023-06-16,Juneteenth,['Local holiday'],United States,US
2023-06-16,Juneteenth Day,['Local holiday'],United States,US
2023-06-17,World Day to Combat Desertification and Drought,['United Nations observance'],United States,US
2023-06-17,Bunker Hill Day,['Local holiday'],United States,US
2023-06-17,Juneteenth Day,['Local holiday'],United States,US
2023-06-17,Juneteenth National Freedom Day,['Local holiday'],United States,US
2023-06-17,Juneteenth,['Local holiday'],United States,US
2023-06-17,Juneteenth National Freedom Day,['Local holiday'],United States,US
2023-06-17,Juneteenth National Freedom Day,['Local holiday'],United States,US
2023-06-18,Sustainable Gastronomy Day,['United Nations observance'],United States,US
2023-06-18,Father's Day,['Observance'],United States,US
2023-06-18,Father's Day,['Local holiday'],United States,US
2023-06-19,International Day for the Elimination of Sexual Violence in Conflict,['United Nations observance'],United States,US
2023-06-19,Juneteenth,['National holiday'],United States,US
2023-06-19,Juneteenth National Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth Day,['Local holiday'],United States,US
2023-06-19,Juneteenth National Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth Independence Day,['Local holiday'],United States,US
2023-06-19,Juneteenth National Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth National Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,National Juneteenth Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth National Independence Day,['Local holiday'],United States,US
2023-06-19,Juneteenth Independence Day,['Local holiday'],United States,US
2023-06-19,Juneteenth National Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth Freedom Day,['Local holiday'],United States,US
2023-06-19,Emancipation Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local observance'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth National Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth Independence Day,['Observance'],United States,US
2023-06-19,Juneteenth Celebration of Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Juneteenth Freedom Day,['Local holiday'],United States,US
2023-06-19,Juneteenth,['Local holiday'],United States,US
2023-06-19,Emancipation Day,['Local holiday'],United States,US
2023-06-20,World Refugee Day,['United Nations observance'],United States,US
2023-06-20,West Virginia Day,['Local holiday'],United States,US
2023-06-20,American Eagle Day,['Observance'],United States,US
2023-06-21,International Day of Yoga,['United Nations observance'],United States,US
2023-06-21,International Day of the Celebration of the Solstice,['United Nations observance'],United States,US
2023-06-21T10:57:49-04:00,June Solstice,['Season'],United States,US
2023-06-23,Public Service Day,['United Nations observance'],United States,US
2023-06-23,International Widows' Day,['United Nations observance'],United States,US
2023-06-25,Day of the Seafarer,['United Nations observance'],United States,US
2023-06-26,International Day Against Drug Abuse and Illicit Trafficking,['United Nations observance'],United States,US
2023-06-26,International Day in Support of Victims of Torture,['United Nations observance'],United States,US
2023-06-27,"Micro-, Small and Medium-sized Enterprises Day",['United Nations observance'],United States,US
2023-06-28,Eid al-Adha,['Muslim'],United States,US
2023-06-28,Carolina Day,['Local observance'],United States,US
2023-06-29,International Day of the Tropics,['United Nations observance'],United States,US
2023-06-30,International Asteroid Day,['United Nations observance'],United States,US
2023-06-30,International Day of Parliamentarism,['United Nations observance'],United States,US
2023-07-01,International Day of Cooperatives,['United Nations observance'],United States,US
2023-07-03,Independence Day Holiday,['Local holiday'],United States,US
2023-07-04,Independence Day,['Local holiday'],United States,US
2023-07-04,Independence Day,['National holiday'],United States,US
2023-07-04,Independence Day,['Local holiday'],United States,US
